_id,agent,serviceLevelAggrement,conversation,status,updater,creator,updatedAt,createdAt,isSlaSuccess,__v
5b45878c4dca7a00117082d5,,5b44810a76362000107236dd,5b45878cd2e6a90010d55883,active,System,system,2018-07-11 04:29:00,2018-07-11 04:29:00,True,0
5b45878c4dca7a00117082d6,5b445d1da16f58001071a8b2,5b44810a76362000107236dc,5b45878cd2e6a90010d55883,active,System,system,2018-07-11 04:29:00,2018-07-11 04:29:00,True,0
5b45879299601900103479e6,5b445d1da16f58001071a8b2,5b44810a76362000107236da,5b45878cd2e6a90010d55883,active,System,hana.owens@mavenlab.com,2018-07-11 04:29:06,2018-07-11 04:29:06,True,0
5b45879b4dca7a00117082d7,,5b44810a76362000107236dd,5b45879bd2e6a90010d55886,active,System,system,2018-07-11 04:29:15,2018-07-11 04:29:15,True,0
5b45879b4dca7a00117082d8,5b445daaa16f58001071a8c7,5b44810a76362000107236dc,5b45879bd2e6a90010d55886,active,System,system,2018-07-11 04:29:15,2018-07-11 04:29:15,True,0
5b45879c4dca7a00117082d9,,5b44810a76362000107236dd,5b45879cd2e6a90010d55889,active,System,system,2018-07-11 04:29:16,2018-07-11 04:29:16,True,0
5b45879c4dca7a00117082da,5b445daaa16f58001071a8c7,5b44810a76362000107236dc,5b45879cd2e6a90010d55889,active,System,system,2018-07-11 04:29:16,2018-07-11 04:29:16,True,0
5b4587a08b2c950010c1897c,5b445d1da16f58001071a8b2,5b44810a76362000107236d9,5b45878cd2e6a90010d55883,active,System,System,2018-07-11 04:29:20,2018-07-11 04:29:20,True,0
5b4587a04dca7a00117082db,,5b44810a76362000107236dd,5b4587a0d2e6a90010d5588c,active,System,system,2018-07-11 04:29:20,2018-07-11 04:29:20,True,0
5b4587bb99601900103479e8,5b445daaa16f58001071a8c7,5b44810a76362000107236da,5b45879bd2e6a90010d55886,active,System,weesoon@mavenlab.com,2018-07-11 04:29:47,2018-07-11 04:29:47,True,0
5b4587c9d2e6a90010d5588f,5b445d1da16f58001071a8b2,5b44810a76362000107236dc,5b45878cd2e6a90010d55883,active,System,system,2018-07-11 04:30:01,2018-07-11 04:30:01,True,0
5b4587ca99601900103479ea,5b445d1da16f58001071a8b2,5b44810a76362000107236da,5b45878cd2e6a90010d55883,active,System,hana.owens@mavenlab.com,2018-07-11 04:30:02,2018-07-11 04:30:02,True,0
5b4587ca8b2c950010c1897d,5b445daaa16f58001071a8c7,5b44810a76362000107236d9,5b45879bd2e6a90010d55886,active,System,System,2018-07-11 04:30:02,2018-07-11 04:30:02,True,0
5b4587d799601900103479eb,5b445daaa16f58001071a8c7,5b44810a76362000107236da,5b45879cd2e6a90010d55889,active,System,weesoon@mavenlab.com,2018-07-11 04:30:15,2018-07-11 04:30:15,True,0
5b4587de8b2c950010c1897e,5b445d1da16f58001071a8b2,5b44810a76362000107236d9,5b45878cd2e6a90010d55883,active,System,System,2018-07-11 04:30:22,2018-07-11 04:30:22,True,0
5b4587e88b2c950010c1897f,5b445daaa16f58001071a8c7,5b44810a76362000107236d9,5b45879cd2e6a90010d55889,active,System,System,2018-07-11 04:30:32,2018-07-11 04:30:32,True,0
5b4588cc4dca7a00117082dc,,5b44810a76362000107236d4,5b4588ccd2e6a90010d55891,active,System,system,2018-07-11 04:34:20,2018-07-11 04:34:20,True,0
5b4589fa99601900103479ef,5b445d1da16f58001071a8b2,5b44810a76362000107236d8,5b45878cd2e6a90010d55883,active,System,system,2018-07-11 04:39:22,2018-07-11 04:39:22,True,0
5b4589fa99601900103479f0,5b445d1da16f58001071a8b2,5b44810a76362000107236dc,5b4587a0d2e6a90010d5588c,active,System,system,2018-07-11 04:39:22,2018-07-11 04:39:22,False,0
5b4589fc99601900103479f2,5b445daaa16f58001071a8c7,5b44810a76362000107236d8,5b45879cd2e6a90010d55889,active,System,system,2018-07-11 04:39:24,2018-07-11 04:39:24,True,0
5b4589fc99601900103479f3,5b445daaa16f58001071a8c7,5b44810a76362000107236d5,5b4588ccd2e6a90010d55891,active,System,system,2018-07-11 04:39:24,2018-07-11 04:39:24,False,0
5b458a0899601900103479f4,5b445d1da16f58001071a8b2,5b44810a76362000107236da,5b4587a0d2e6a90010d5588c,active,System,hana.owens@mavenlab.com,2018-07-11 04:39:36,2018-07-11 04:39:36,True,0
5b458a168b2c950010c18980,5b445d1da16f58001071a8b2,5b44810a76362000107236d9,5b4587a0d2e6a90010d5588c,active,System,System,2018-07-11 04:39:50,2018-07-11 04:39:50,True,0
5b458a1999601900103479f6,5b445daaa16f58001071a8c7,5b44810a76362000107236d7,5b4588ccd2e6a90010d55891,active,System,weesoon@mavenlab.com,2018-07-11 04:39:53,2018-07-11 04:39:53,True,0
5b458ab18b2c950010c18981,5b445daaa16f58001071a8c7,5b44810a76362000107236db,5b4588ccd2e6a90010d55891,active,System,System,2018-07-11 04:42:25,2018-07-11 04:42:25,True,0
5b458b108b2c950010c18982,5b445daaa16f58001071a8c7,5b44810a76362000107236db,5b4588ccd2e6a90010d55891,active,System,System,2018-07-11 04:44:00,2018-07-11 04:44:00,True,0
5b458b568b2c950010c18983,5b445daaa16f58001071a8c7,5b44810a76362000107236db,5b4588ccd2e6a90010d55891,active,System,System,2018-07-11 04:45:10,2018-07-11 04:45:10,True,0
5b458b75d2e6a90010d55894,5b445d1da16f58001071a8b2,5b44810a76362000107236dc,5b4587a0d2e6a90010d5588c,active,System,system,2018-07-11 04:45:41,2018-07-11 04:45:41,False,0
5b458b7899601900103479fa,5b445d1da16f58001071a8b2,5b44810a76362000107236da,5b4587a0d2e6a90010d5588c,active,System,hana.owens@mavenlab.com,2018-07-11 04:45:44,2018-07-11 04:45:44,True,0
5b458bd08b2c950010c18984,5b445d1da16f58001071a8b2,5b44810a76362000107236d9,5b4587a0d2e6a90010d5588c,active,System,System,2018-07-11 04:47:12,2018-07-11 04:47:12,True,0
5b458c10d2e6a90010d55896,5b445daaa16f58001071a8c7,5b44810a76362000107236d5,5b4588ccd2e6a90010d55891,active,System,system,2018-07-11 04:48:16,2018-07-11 04:48:16,False,0
5b458c1199601900103479fc,5b445daaa16f58001071a8c7,5b44810a76362000107236d7,5b4588ccd2e6a90010d55891,active,System,weesoon@mavenlab.com,2018-07-11 04:48:17,2018-07-11 04:48:17,True,0
5b458c89d2e6a90010d55898,5b445d1da16f58001071a8b2,5b44810a76362000107236dc,5b4587a0d2e6a90010d5588c,active,System,system,2018-07-11 04:50:17,2018-07-11 04:50:17,True,0
5b458dfe99601900103479fd,5b445d1da16f58001071a8b2,5b44810a76362000107236da,5b4587a0d2e6a90010d5588c,active,System,hana.owens@mavenlab.com,2018-07-11 04:56:30,2018-07-11 04:56:30,True,0
